YEARMAKE,MODEL,TRIM,STOCK,VIN,@QR,QRYEARMODEL,QRSTOCK,@QR2,MISC
2024 Audi,Q3,S line Premium,2024 Q3 - 340369L,USED - WA1DECF34R1040590,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_1.PNG,2024 Q3 - 340369L,USED - WA1DECF34R1040590,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_1.PNG,2024 Q3 - 340369L - USED - WA1DECF34R1040590
2024 Mazda,Mazda CX-90,3.3 Turbo Select,2024 Mazda CX-90 - 18819L,CERTIFIED - JM3KKAHD0R1171085,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_2.PNG,2024 Mazda CX-90 - 18819L,CERTIFIED - JM3KKAHD0R1171085,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_2.PNG,2024 Mazda CX-90 - 18819L - CERTIFIED - JM3KKAHD0R1171085
2024 INFINITI,QX50,LUXE,2024 QX50 - P6201A,CERTIFIED - 3PCAJ5BB3RF101335,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_3.PNG,2024 QX50 - P6201A,CERTIFIED - 3PCAJ5BB3RF101335,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_3.PNG,2024 QX50 - P6201A - CERTIFIED - 3PCAJ5BB3RF101335
2024 Mazda,Mazda CX-90,3.3 Turbo Select,2024 Mazda CX-90 - 18747L,CERTIFIED - JM3KKAHD9R1166371,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_4.PNG,2024 Mazda CX-90 - 18747L,CERTIFIED - JM3KKAHD9R1166371,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_4.PNG,2024 Mazda CX-90 - 18747L - CERTIFIED - JM3KKAHD9R1166371
2024 Mazda,Mazda3 Hatchback,2.5 Turbo Premium Plus,2024 Mazda3 Hatchback - 18217L,CERTIFIED - JM1BPBNY0R1702681,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_5.PNG,2024 Mazda3 Hatchback - 18217L,CERTIFIED - JM1BPBNY0R1702681,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_5.PNG,2024 Mazda3 Hatchback - 18217L - CERTIFIED - JM1BPBNY0R1702681
2024 Mazda,Mazda CX-90,3.3 Turbo Select,2024 Mazda CX-90 - 18876L,CERTIFIED - JM3KKAHD4R1187208,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_6.PNG,2024 Mazda CX-90 - 18876L,CERTIFIED - JM3KKAHD4R1187208,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_6.PNG,2024 Mazda CX-90 - 18876L - CERTIFIED - JM3KKAHD4R1187208
2024 Audi,Q5,S line Premium,2024 Q5 - 340398L,CERTIFIED - WA1GAAFY7R2051022,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_7.PNG,2024 Q5 - 340398L,CERTIFIED - WA1GAAFY7R2051022,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_7.PNG,2024 Q5 - 340398L - CERTIFIED - WA1GAAFY7R2051022
2025 Mazda,Mazda CX-70,3.3 Turbo Premium Plus,2025 Mazda CX-70 - P6177,CERTIFIED - JM3KJEHD7S1116584,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_8.PNG,2025 Mazda CX-70 - P6177,CERTIFIED - JM3KJEHD7S1116584,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_8.PNG,2025 Mazda CX-70 - P6177 - CERTIFIED - JM3KJEHD7S1116584
2025 Mazda,Mazda CX-70 PHEV,Premium Plus Package,2025 Mazda CX-70 PHEV - 19459A,CERTIFIED - JM3KJEHA5S1100776,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_9.PNG,2025 Mazda CX-70 PHEV - 19459A,CERTIFIED - JM3KJEHA5S1100776,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_9.PNG,2025 Mazda CX-70 PHEV - 19459A - CERTIFIED - JM3KJEHA5S1100776
2024 Mazda,Mazda CX-90,3.3 Turbo Select,2024 Mazda CX-90 - 18819L,USED - JM3KKAHD0R1171085,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_10.PNG,2024 Mazda CX-90 - 18819L,USED - JM3KKAHD0R1171085,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_10.PNG,2024 Mazda CX-90 - 18819L - USED - JM3KKAHD0R1171085
2024 INFINITI,QX50,LUXE,2024 QX50 - P6201A,USED - 3PCAJ5BB3RF101335,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_11.PNG,2024 QX50 - P6201A,USED - 3PCAJ5BB3RF101335,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_11.PNG,2024 QX50 - P6201A - USED - 3PCAJ5BB3RF101335
2024 Mazda,Mazda CX-90,3.3 Turbo Select,2024 Mazda CX-90 - 18747L,CERTIFIED - JM3KKAHD9R1166371,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_12.PNG,2024 Mazda CX-90 - 18747L,CERTIFIED - JM3KKAHD9R1166371,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_12.PNG,2024 Mazda CX-90 - 18747L - CERTIFIED - JM3KKAHD9R1166371
2024 Mazda,Mazda3 Hatchback,2.5 Turbo Premium Plus,2024 Mazda3 Hatchback - 18217L,CERTIFIED - JM1BPBNY0R1702681,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_13.PNG,2024 Mazda3 Hatchback - 18217L,CERTIFIED - JM1BPBNY0R1702681,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_13.PNG,2024 Mazda3 Hatchback - 18217L - CERTIFIED - JM1BPBNY0R1702681
2024 Mazda,Mazda CX-90,3.3 Turbo Select,2024 Mazda CX-90 - 18876L,CERTIFIED - JM3KKAHD4R1187208,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_14.PNG,2024 Mazda CX-90 - 18876L,CERTIFIED - JM3KKAHD4R1187208,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_14.PNG,2024 Mazda CX-90 - 18876L - CERTIFIED - JM3KKAHD4R1187208
2024 Audi,Q5,S line Premium,2024 Q5 - 340398L,CERTIFIED - WA1GAAFY7R2051022,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_15.PNG,2024 Q5 - 340398L,CERTIFIED - WA1GAAFY7R2051022,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_15.PNG,2024 Q5 - 340398L - CERTIFIED - WA1GAAFY7R2051022
2025 Mazda,Mazda CX-70,3.3 Turbo Premium Plus,2025 Mazda CX-70 - P6177,CERTIFIED - JM3KJEHD7S1116584,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_16.PNG,2025 Mazda CX-70 - P6177,CERTIFIED - JM3KJEHD7S1116584,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_16.PNG,2025 Mazda CX-70 - P6177 - CERTIFIED - JM3KJEHD7S1116584
2025 Mazda,Mazda CX-70 PHEV,Premium Plus Package,2025 Mazda CX-70 PHEV - 19459A,CERTIFIED - JM3KJEHA5S1100776,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_17.PNG,2025 Mazda CX-70 PHEV - 19459A,CERTIFIED - JM3KJEHA5S1100776,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_17.PNG,2025 Mazda CX-70 PHEV - 19459A - CERTIFIED - JM3KJEHA5S1100776
2024 Mazda,Mazda CX-90,3.3 Turbo Select,2024 Mazda CX-90 - 18747L,USED - JM3KKAHD9R1166371,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_18.PNG,2024 Mazda CX-90 - 18747L,USED - JM3KKAHD9R1166371,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_18.PNG,2024 Mazda CX-90 - 18747L - USED - JM3KKAHD9R1166371
2024 Mazda,Mazda3 Hatchback,2.5 Turbo Premium Plus,2024 Mazda3 Hatchback - 18217L,USED - JM1BPBNY0R1702681,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_19.PNG,2024 Mazda3 Hatchback - 18217L,USED - JM1BPBNY0R1702681,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_19.PNG,2024 Mazda3 Hatchback - 18217L - USED - JM1BPBNY0R1702681
2024 Mazda,Mazda CX-90,3.3 Turbo Select,2024 Mazda CX-90 - 18876L,USED - JM3KKAHD4R1187208,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_20.PNG,2024 Mazda CX-90 - 18876L,USED - JM3KKAHD4R1187208,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_20.PNG,2024 Mazda CX-90 - 18876L - USED - JM3KKAHD4R1187208
2021 Audi,RS 7,4.0 TFSI quattro,2021 RS 7 - 350248A,CERTIFIED - WUAPCBF22MN903840,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_21.PNG,2021 RS 7 - 350248A,CERTIFIED - WUAPCBF22MN903840,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_21.PNG,2021 RS 7 - 350248A - CERTIFIED - WUAPCBF22MN903840
2024 Audi,Q5,S line Premium,2024 Q5 - 340468L,CERTIFIED - WA1GAAFY5R2106177,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_22.PNG,2024 Q5 - 340468L,CERTIFIED - WA1GAAFY5R2106177,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_22.PNG,2024 Q5 - 340468L - CERTIFIED - WA1GAAFY5R2106177
2024 Audi,Q5,S line Premium,2024 Q5 - 340398L,CERTIFIED - WA1GAAFY7R2051022,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_23.PNG,2024 Q5 - 340398L,CERTIFIED - WA1GAAFY7R2051022,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_23.PNG,2024 Q5 - 340398L - CERTIFIED - WA1GAAFY7R2051022
2025 Mazda,Mazda CX-70,3.3 Turbo Premium Plus Package,2025 Mazda CX-70 - P6177,USED - JM3KJEHD7S1116584,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_24.PNG,2025 Mazda CX-70 - P6177,USED - JM3KJEHD7S1116584,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_24.PNG,2025 Mazda CX-70 - P6177 - USED - JM3KJEHD7S1116584
2025 Mazda,Mazda CX-70 PHEV,Premium Plus Package,2025 Mazda CX-70 PHEV - 19459A,CERTIFIED - JM3KJEHA5S1100776,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_25.PNG,2025 Mazda CX-70 PHEV - 19459A,CERTIFIED - JM3KJEHA5S1100776,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_25.PNG,2025 Mazda CX-70 PHEV - 19459A - CERTIFIED - JM3KJEHA5S1100776
2025 Mazda,Mazda CX-70 PHEV,Premium Plus Package,2025 Mazda CX-70 PHEV - 19459A,CERTIFIED - JM3KJEHA5S1100776,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_26.PNG,2025 Mazda CX-70 PHEV - 19459A,CERTIFIED - JM3KJEHA5S1100776,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_26.PNG,2025 Mazda CX-70 PHEV - 19459A - CERTIFIED - JM3KJEHA5S1100776
2025 Mazda,Mazda CX-70,3.3 Turbo Premium Plus,2025 Mazda CX-70 - P6177,USED - JM3KJEHD7S1116584,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_27.PNG,2025 Mazda CX-70 - P6177,USED - JM3KJEHD7S1116584,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_27.PNG,2025 Mazda CX-70 - P6177 - USED - JM3KJEHD7S1116584
2024 Audi,Q5,S line Premium,2024 Q5 - 340398L,USED - WA1GAAFY7R2051022,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_28.PNG,2024 Q5 - 340398L,USED - WA1GAAFY7R2051022,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_28.PNG,2024 Q5 - 340398L - USED - WA1GAAFY7R2051022
2024 Audi,Q5,S line Premium,2024 Q5 - 340468L,USED - WA1GAAFY5R2106177,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_29.PNG,2024 Q5 - 340468L,USED - WA1GAAFY5R2106177,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_29.PNG,2024 Q5 - 340468L - USED - WA1GAAFY5R2106177
2021 Audi,RS 7,4.0 TFSI quattro,2021 RS 7 - 350248A,USED - WUAPCBF22MN903840,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_30.PNG,2021 RS 7 - 350248A,USED - WUAPCBF22MN903840,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_30.PNG,2021 RS 7 - 350248A - USED - WUAPCBF22MN903840
2024 Audi,Q5,S line Premium,2024 Q5 - 340398L,USED - WA1GAAFY7R2051022,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_31.PNG,2024 Q5 - 340398L,USED - WA1GAAFY7R2051022,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_31.PNG,2024 Q5 - 340398L - USED - WA1GAAFY7R2051022
2025 Mazda,Mazda CX-70,3.3 Turbo Premium Plus,2025 Mazda CX-70 - P6177,USED - JM3KJEHD7S1116584,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_32.PNG,2025 Mazda CX-70 - P6177,USED - JM3KJEHD7S1116584,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_32.PNG,2025 Mazda CX-70 - P6177 - USED - JM3KJEHD7S1116584
2025 Mazda,Mazda CX-70 PHEV,Premium Plus Package,2025 Mazda CX-70 PHEV - 19459A,CERTIFIED - JM3KJEHA5S1100776,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_33.PNG,2025 Mazda CX-70 PHEV - 19459A,CERTIFIED - JM3KJEHA5S1100776,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_33.PNG,2025 Mazda CX-70 PHEV - 19459A - CERTIFIED - JM3KJEHA5S1100776
2025 Mazda,Mazda CX-70 PHEV,Premium Plus Package,2025 Mazda CX-70 PHEV - 19459A,USED - JM3KJEHA5S1100776,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_34.PNG,2025 Mazda CX-70 PHEV - 19459A,USED - JM3KJEHA5S1100776,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_34.PNG,2025 Mazda CX-70 PHEV - 19459A - USED - JM3KJEHA5S1100776
2024 Audi,Q3,S line Premium,2024 Q3 - 340369L,CERTIFIED - WA1DECF34R1040590,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_35.PNG,2024 Q3 - 340369L,CERTIFIED - WA1DECF34R1040590,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_35.PNG,2024 Q3 - 340369L - CERTIFIED - WA1DECF34R1040590
2025 Mazda,Mazda CX-70 PHEV,Premium Plus Package,2025 Mazda CX-70 PHEV - 19459A,USED - JM3KJEHA5S1100776,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_36.PNG,2025 Mazda CX-70 PHEV - 19459A,USED - JM3KJEHA5S1100776,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_36.PNG,2025 Mazda CX-70 PHEV - 19459A - USED - JM3KJEHA5S1100776
2024 Audi,Q3,S line Premium,2024 Q3 - 340369L,CERTIFIED - WA1DECF34R1040590,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_37.PNG,2024 Q3 - 340369L,CERTIFIED - WA1DECF34R1040590,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_37.PNG,2024 Q3 - 340369L - CERTIFIED - WA1DECF34R1040590
