 ,,,NEW ORDER METHOD,NEW CVRG,USED ORDER METHOD,USED CVRG,LOCALITY,Monthly Program,PPM
Audi Quad Cities,,None,,None,MANUAL CUSTOM,NA,DIRECT,N,
Audi Rancho Mirage,,Scraper,,ShortCut,MANUAL,None,DIRECT,N,
Auffenberg Hyundai,,Scraper,MANUAL CUSTOM,ShortCut,CAO - SCHEDULED,ShortCut Pack,LOCAL,,
Autohaus BMW,,None,,None,MANUAL CUSTOM,None,LOCAL,Y,1200
BMW of Columbia,,Scraper,MANUAL,ShortCut Pack,MANUAL,ShortCut Pack,NON-LOCAL,,
BMW West St. Louis,TRANSITIONING,Scraper,,None,MANUAL,ShortCut Pack,LOCAL,Y,1200
Bommarito Cadillac,,Scraper,MANUAL,ShortCut Pack,MANUAL,ShortCut Pack,LOCAL,Custom,
Bommarito West County PO,Pricing Conflict,Scraper,,None,CAO - SCHEDULED,Flyout,LOCAL,Custom,
Columbia Honda,,Scraper,,None,MANUAL,ShortCut Pack,NON-LOCAL,,
Dave Sinclair Lincoln ,TRANSITIONING,Scraper,MANUAL,ShortCut Pack,MANUAL,ShortCut Pack,LOCAL,Y,750
Dave Sinclair Lincoln St. Peters,,Scraper,MANUAL,ShortCut Pack,MANUAL,None,LOCAL,Y,760
David Taylor CDJR Ellisville,,None,,NA,MANUAL CUSTOM,NA,LOCAL,N,
Frank Leta Acura,,None,,NA,MANUAL CUSTOM,NA,LOCAL,Custom,
Frank Leta Honda,TRANSITIONING,Scraper,,None,CAO - SCHEDULED,ShortCut Pack,LOCAL,Y,1650
Glendale CDJR,,Scraper,,None,CAO - SCHEDULED,ShortCut Pack,LOCAL,Custom,
Honda of Frontenac,,Scraper,MANUAL CUSTOM,ShortCut,CAO - SCHEDULED,ShortCut Pack,LOCAL,Custom,
HW KIA,TRANSITIONING,Scraper,,None,CAO - SCHEDULED,ShortCut Pack,LOCAL,Custom,~500
Indigo Auto Group,,Scraper,,None,MANUAL,ShortCut Pack,DIRECT,N,
Jack Schmitt Ford,,None,,NA,MANUAL CUSTOM,NA,LOCAL,Y,750
Jaguar Rancho Mirage,,Scraper,,ShortCut,MANUAL,None,DIRECT,N,
Joe Machens CDJR,,Scraper,MANUAL,ShortCut,MANUAL,ShortCut Pack,NON-LOCAL,,
Joe Machens Hyundai,,Scraper,,,,,,,
Joe Machens Nissan,,Scraper,MANUAL CUSTOM,ShortCut,MANUAL,ShortCut Pack,NON-LOCAL,,
Joe Machens Toyota,,Scraper,MANUAL,ShortCut Pack,MANUAL,ShortCut Pack,NON-LOCAL,,
KIA of Columbia,,Scraper,MANUAL CUSTOM,ShortCut,MANUAL,ShortCut Pack,NON-LOCAL,,
Land Rover Rancho Mirage,,Scraper,,ShortCut,MANUAL,None,DIRECT,N,
Mini of St. Louis,,Scraper,,None,MANUAL,Flyout,LOCAL,Y,500
Mungenast Acura,,None,,NA,MANUAL CUSTOM,NA,LOCAL,Custom,
Pappas Toyota,,Scraper,CAO - SCHEDULED,ShortCut Pack,,Custom,LOCAL,Custom,
Porsche St. Louis,,Scraper,CAO - SCHEDULED,ShortCut,CAO - SCHEDULED,ShortCut,LOCAL,Custom,
Pundmann Ford,,Scraper,MANUAL,ShortCut Pack,MANUAL,ShortCut Pack,LOCAL,Y,1350
Rusty Drewing Chevy BGMC,,Scraper,MANUAL,ShortCut Pack,MANUAL,ShortCut Pack,NON-LOCAL,,
Rusy Drewing Cadillac,,Scraper,MANUAL,ShortCut Pack,MANUAL,None,NON-LOCAL,,
Schicker Ford,,None,,NA,MANUAL CUSTOM,NA,LOCAL,Y,500
Serra Honda,,Scraper,CAO - SCHEDULED,ShortCut,CAO - SCHEDULED,ShortCut Pack,LOCAL,,
South County DCJR,,Scraper,,ShortCut Pack,CAO - SCHEDULED,ShortCut Pack,NON-LOCAL,Custom,
Spirit Lexus,,Scraper,,None,CAO - SCHEDULED,Custom,LOCAL,Custom,
Suntrup Buick GMC,Used Disinterest,Scraper,CAO - SCHEDULED,ShortCut,CAO - SCHEDULED,Flyout,LOCAL,,
Suntrup Ford Kirkwood,,Scraper,,None,CAO - SCHEDULED,Flyout,LOCAL,Y,440
Suntrup Ford Westport,TRANSITIONING,None,,None,CAO - SCHEDULED,ShortCut Pack,LOCAL,Y,440
Suntrup Hyundai,,Scraper,,Custom,MANUAL CUSTOM,None,LOCAL,Custom,
Suntrup Kia,,Scraper,,Custom,MANUAL,None,LOCAL,Y,900
Suntrup Nissan,,None,MANUAL CUSTOM,ShortCut,MANUAL CUSTOM,ShortCut,LOCAL,Y,900
Suntrup Volkswagen,,None,MANUAL CUSTOM,ShortCut,MANUAL CUSTOM,ShortCut,LOCAL,Y,900
Thoroughbred Ford,,Scraper,,None,CAO - SCHEDULED,ShortCut Pack,DIRECT,,
Victory Toyota St. Louis,,None,,Custom,,NA,LOCAL,Custom,
,,,,,,,,,
Weber Chevrolet,,Scraper,,None,CAO - SCHEDULED,Custom,LOCAL,,