ORDER,58ADZ1B10NU133431
,1C4RJYB69R8509507
,1C4SJSFP6RS187803
,1C6RRFGG8SN639596
,1C6SRFFP5SN632978
,1C6RRFGG1SN639598
,1C4RJYB64RC106662
,1C6RRFGGXSN639146
,1C4PJXFG9RW369636
,2C4RC1CG3SR514429
,1C6SRFLP7SN634803
,1C4RJKBG4R8527676
,1C6SRFFP4SN641817
,
41609,2C4RC1BG6NR177888
,1C6SRFFT5PN533324
,2C3CDXHG4PH642663
,2C3CDXHG3NH208733
,2C3CDYAG3CH294168
,1FATP8UH9G5305183
,1GNSCBKC5GR300391
,1GKS2CKJ3HR224613
,3GTU2NEJ6HG399708
,1C4RDJDG5SC509883
,3C63R3GJ9RG391443
,3C63R3GJ3RG392443
,3C6UR5FJ1RG376789
,1C6SRFFP6SN641818
,1C6RRFGGXSN639597
,3C6UR5DJ7RG390005
,3C6UR5DJ0RG390010
,1C6SRFFP4SN641820
,1C4RJHAG7RC215773
,1C6SRFFP8SN641819
,1C4RJKAG9S8641325
,3C6UR5HJ4RG375617
,1C6SRFLP0SN634805
,1C6SRFLP1SN622209
,
41731,2C3CCAAG9JH314236
,1C4HJXDN3NW154835
,1C6RR7LT1KS520248
,1C4PJMMB1PD110038
,1C6HJTFG7PL527300
,1C6SRFLM8LN413427
,2C3CDXBG1MH632466
,2C4RC1GG8NR153374
,1C6HJTAG0NL160776
,1C4PJMMB1PD112291
,1C6RR7GG6NS237457
,1C4RDJDG9PC682961
,2C3CDZAG0NH263503
,1C4SDJH9XPC614911
,1C4RDJEG4LC146847
,2C3CDXBG1PH651801
,1C4PJLCB6HW592197
,2C3CDXBG0MH642843
,2C4RC1BG9NR142942
,1C6RR7MT2ES213917
,1C6RR7LGXNS203995
,2C4RC1FG4LR238128
,2C3CDXBG9MH632635
,1C4PJMMB3PD114351
,2C4RC1BG5PR521388
,2GNALCEK4G6324990
,1GTU9DED9KZ120985
,1GCVKSEC4HZ236866
,JN8AY2NC0J9554085
,2FMPK4K99KBC11061
,1FAHP2FW7AG109785
,1C4JJXFG0NW157949
,1GKKVTKD8GJ282327
,1N6AD09UX7C420837
,1J4GL48K13W697175
,5GRGN22U55H112862
,1C6RR7KG4HS812232
,1GKKNMLS3LZ132365
,1FTEW1EP2GKE94439
,KL8CD6SA1MC735514
,1C6SRFLP6SN547250
,KL8CD6SA3MC748684
,3VWLL7AJXDM352801
,KNMAT2MT5FP589347
,2C4RC1BG5KR655780
,3C6TR5DT5GG379112
,2T3P1RFV3MW157736
,3N1CP5CV7RL473104
,1C6JJTEG4ML608723
,1GYKPDRS0PZ144373
,3GCUYEET8MG391345
,JN8BT3DC1PW102280
,KNDJ23AU2N7826235
,1C4HJXDG5MW570501
,3C6UR5DL5HG519228
,KNDJ23AU6N7175692
,1C4PJXDG8RW357223
,1C6SRFJP6SN629871
,1C6SRFFP0SN629339
,1C4RJKAG0S8641326
,1C6SRFJP8SN643819
,3C6UR5EL3RG359267
,1C6SRFHP1SN613387
,
41867,1C4HJXDN9MW589809
,1C4RJFBG8KC813640
,1C4PJLCB8GW291591
,3C4PDCEG6JT369816
,1C4BJWDG4GL304425
,2C3CDZFJ6FH783310
,1C4RJFAG7KC787498
,1C6JJTBG4NL102427
,1C4RJFDJ1HC826215
,3N1AB8BV2LY234238
,1G4HP572X6U106349
,3VWRW31C49M501125
,1GCHK23G56F168451
,1GCPDDEK1NZ509246
,JN8AF5MV5DT208924
,1C4RJFBG6JC225783
,5GAKRBKDXEJ258720
,1C6RR7FM2ES302716
,1C4NJDEB9ED650028
,1GKKVRKD9GJ314205
,1FTFX1EG5FKF04493
,1G1ZB5E08CF271616
,JHMGE8H45AS021792
,1C6RR7KT5ES261608
,1C4HJXAN8KW682001
,1GYS4KKJ9GR129482
,3GCUKREC5JG333374
,2C4RC1CG5ER304208
,ZACNJDB10PPP40360
,1C4RJHAG8SC278211
,
BASELINE 2.21,2C3CDXBGXPH530250
,1C4HJXDG1PW568314
,2C3CDZAG1NH263381
,1C4JJXP69MW799655
,1C4RJFAG6HC744943
,2C3CDXCT2NH261654
,1C4JJXP64MW751058
,2C3CDXHG1PH559966
,1C4RJFAG0GC354760
,2C3CDXBG8NH261405
,3C4NJDBN6RT106276
,ZACNJDAB0MPM28013
,2C4RDGCG2HR797902
,1C4RDJDGXRC153179
,2C3CDZAG8PH563003
,1C4SJVGP0PS504522
,2C4RC1GG8NR177562
,2C4RDGBG9HR633029
,2C3CDXCT9NH119091
,1C4PJMMB1PD112291
,2C3CDXBG1PH704044
,1C4PJMDX1MD147792
,2C3CDZJG9NH263595
,1C4RDJDG5RC144129
,1C4PJMMN2ND536733
,3C4NJDANXRT152419
,2C3CDXHG0PH571803
,1C4RDJDG6PC617369
,1C4SDJCT0MC850319
,2C3CDZAG7PH567656
,1C4SDJCT2NC221520
,1C4RDJDG8MC691596
,1C4SJVFJ4PS543644
,1C4HJXDN3NW154835
,1C6SRFFT3LN181970
,1C4RDJDG4PC603230
,2C4RC1BG4NR229406
,2C3CDZAG6NH258015
,1C4PJMMB1PD110038
,1C6SRFFT8PN533348
,1C6SRFJT5KN725746
,1C4RDJDGXRC144191
,3C6UR5DJ9HG753306
,1C4RDJDG3RC119536
,1C6HJTAG4LL186276
,1C6RRFFG0NN284266
,ZACNJDB10PPP40360
,1C4JJXP62NW112405
,ZACNJBAB9LPL14773
,1C4RJYD6XP8786614
,2C3CDZJG7NH257892
,1C4RJFBG6MC809380
,2C4RC1BG7NR106571
,2C4RC1GG8NR153374
,1C4JJXP69MW828975
,2C4RC1BG1NR228598
,2C4RC1GG7LR118189
,1C6SRFHMXMN749221
,1C6JJTAM0ML610514
,1C3CCCAB6FN552527
,1C4SDJCT5NC227280
,2C4RC1EG5LR217631
,2C4RC1FG4LR238128
,2C3CDXBG8PH522423
,1C4PJMMX3MD121713
,2C3CDXHG5NH145117
,2C3CDXBG9NH212889
,ZACCJBBB4JPH50937
,3C4NJDCB9JT115885
,1FMSK8DH3LGB59815
,1C4BJWDG2FL698764
,1C4NJRFB0HD188703
,1C4BJWEGXCL216357
,5N1AR2MN0FC715052
,1C4RJFBG2HC635166
,5XYZTDLB1EG198544
,WA1BNAFY5J2048185
,1N4BL4DV3NN379962
,2C3CDXBGXPH702874
,5XYP3DHC2NG240566
,1C4RJFLT4HC938865
,3GTU2UEC6EG338446
,JN8BT3DC1PW102280
,1N6AA1E5XKN503548
,1FMSK8DH9MGB91220
,1FMCU0F66NUA83314
,1GTP6FEK0P1125126
,3GNKBHRS4LS532846
,1GNSCBKC5GR300391
,1FTFW1E59LKD77504
,4S4BSAFC7K3307804
,2C4RDGCG7DR636665
,1GTPUEEL8NZ601646
,2C4RC1CG1DR664364
,1GCPDDEK1NZ509246
,1C6SRFLP6SN547250
,1G1ZD5ST1NF113016
,1HGCR3F84FA013808
,1GT49LEY3RF469794
,5N1AA0NE0FN609537
,JN8AY2NC3J9553903
,19XZE4F5XNE014151
,1D7HA18N14J112964
,1GCRKSE73CZ224673
,1C4NJCBB9GD514550
,1C4HJXDG4MW670346
,3GNAXUEG8PL179423
,3GCPDCEK8RG181467
,2T3P1RFV3NW291244
,KM8K12AA6MU660207
,2T3P1RFV3MW157736
,1C4RJFLT2MC854070
,1N6BA1F40KN526606
,1GTU9DED9KZ120985
,1FATP8UH9G5305183
,3MVDMBBM1RM624559
,3GCUYGED4KG185036
,KL4CJASB0GB604865
,3N1CN7AP4HK422556
,2C4RC1BG1HR576177
,KMHD04LB1JU482778
,KMHD84LF3HU196047
,1GCPTDEK0R1208166
,1J4BA7H1XBL606395
,1C3CCCAB5FN652876
,5GRGN22U55H112862
,2FMPK4AP9KBB13681
,3FA6P0HD4ER233924
,1FATP8UH0F5402559
,1C6RD7NT1CS291437
,2C4RDGEG1KR770047
,4S4BTALC2L3220007
,1GCUYEED2NZ156076
,1GNSKTKL8MR157926
,5UXTY5C06M9F41703
,1GYS4DEF4ER214827
,5GAEVAKW5LJ216537
,1C4RJKDGXM8184720
,2FMDK36C77BB33986
,3N1CN7AP4KL881426
,1C4RJFAT5CC162192
,KL8CD6SA9MC731629
,1LNHL9DK8DG611218
,3GTUUCE83RG437182
,1GKKNML45PZ210698
,5N1BT3CA5RC743881
,2FMPK3J88GBB30742
,1C6SRFHT2NN380427
,3MVDMBBM1PM529318
,2C4RC3BGXSR526199
,3C4NJDBN4ST541139
,3C4NJDAN4ST503833
,1C4RJHAG8SC299835
,1C6SRFJP2SN626952
,3C6LRVDG3SE531704
,3C4NJDAN4ST503816
,2C4RC1BG6SR505208
,1C6SRFJP1SN673728
,2C4RC1BG0SR534249
,3C63RRGL9RG371861
,1C4PJXFGXSW545356
,3C6UR5CJ7RG327066
,1C4PJXAG0SW531697
,1C6RRFGG2SN601314
,3C4NJDAN2ST503829
,3C4NJDBN9ST549267
,1C6SRFFP4SN656866
,3C4NJDBN2ST515705
,3C6UR5DJ4RG390012
,1C4SDJCT7SC506497
,3C6UR5CL8RG359557
,1C6SRFJP3SN673729
,3C4NJDBN9ST558373
,1C4RJHBG5S8655479
,1C6HJTAG9RL131928
,3C4NJDBN9ST541136
,1C4PJXEG4RW273611
,3C6UR5DL4RG390030
,1C6PJTAG2SL508729
,2C4RC1BG4SR505207
,3C63RRGL7RG358946
,1C6SRFFP8SN659933
,1C6SRFFP5SN629336
,1C6SRFJP3SN673732
,3C4NJDAN9ST515699
,1C6SRFFP3SN658527
,1C4RJHBG2SC294970
,ZACNDFAN6R3A37253
,1C4PJXDN6SW518236
,2C4RC1BG3SR535539
,2C4RC1BG6SR545935
,3C4NJDAN0ST503831
,1C4RJXP69RW228449
,3C6LRVDG0SE538948
,1C4RJKAGXS8659493
,1C4PJXDG6SW545325
,1C6SRFFP2SN659300
,3C6UR5CJ3RG375597
,1C4SDJCT7SC506385
,3C6UR5CJ9RG327070
,3C6UR5DL6RG390028
,1C4RJHAG4SC289108
,1C4RJXN63RW305531
,1C4SJSFP6RS190927
,3C6UR5DJ4RG356720
,1C4RJKAG0S8641326
,1C6SRFFP3SN656857
,1C4RJXP69RW228452
,1C4RJXN66RW317107
,2C4RC1BG8SR545936
,1C4RJKAG5S8659496
,3C6UR5DJXRG356723
,1C4SDJCT6SC502294
,3C6LRVDG2SE538949
,3C63RRGL7RG371860
,1C4PJXEN6SW531700
,3C6UR5CJ3RG327064
,1C4RJHAG2SC289110
,3C6UR5DL8RG390032
,3C6LRVCG1SE532352
,3C6MRVHG7SE532434
,1C4PJXEG5RW265999
,2C4RC1GG4SR533596
,3C6UR5CJ6RG327057
,1C6SRFLP2SN670026
,2C4RC1GG0SR508257
,1C4RJXN69RW351123
,1C4RJHBG1S8655480
,3C6LRVDG5SE538945
,2C4RC1BGXSR507768
,1C6SRFFP0SN656864
,3C4NJDAN6ST503817
,1C4PJXFN8SW508076
,3C4NJDAN1ST515700
,1C6SRFFPXSN659934
,2C4RC1S73SR514495
,1C6PJTAG9SL508730
,1C6RRFCG5SN659374
,3C6UR5DJ7RG392319
,ZACNDFAN9R3A21614
,3C6UR5DL6RG390031
,3C6UR5DJ0RG390010
,1C4SDJCT2SC507296
,2C4RC1GG0SR533594
,3C6LRVDG7SE538946
,3C6LRVDG4SE528035
,3C6LRVDG9SE538947
,1C6SRFFP5SN538647
,3C6UR5DJXRG390015
,3C6LRVDG6SE540977
,1C6SRFJP1SN673731
,3C6UR5DJ5RG392318
,1C6SRFJP4SN643820
,2C4RC1BG7SR534250
,3C6LRVDG3SE538944
,3C4NJDBN0ST549271
,1C4PJXFN3SW531703
,1C4RJXN67RW351122
,3C63R3HL2RG377772
,1C6SRFFP9SN656863
,3C6UR5DJ8RG390014
,1C4RJHAG4SC299833
,2C4RC1S75SR514496
,2C4RC1BG6SR516015
,3C6UR5CLXRG359558
,1C6SRFFP3SN667843
,1C4RJKAG7S8641808
,1C4PJXDN9SW545320
,1C4PJXFN1SW531702
,1C4RJHAG9SC290576
,3C6UR5CJ3RG375602
,3C4NJDBN6ST526481
,1C6SRFHP4SN610483
,1C4RJHBG4SC294968
,3C6UR5CJ4RG327056
,2C3CDBCKXSR537157
,ZACPDFCW3R3A18741
,3C6UR5CJXRG327059
,3C6UR5DJ2RG390011
,3C6UR5DL5RG384401
,1C4PJXDN2SW545319
,3C6UR5CJ5RG327065
,3C4NJDAN9ST503830
,3C6UR5DL9RG384403
,1C6SRFFP3SN632980
,1C6SRFGP9SN556373
,1C6SRFFP5SN656858
,1C4RJXN6XRW313206
,1C6PJTAG0SL508728
,1C4RJHAG6SC299834
,3C6LRVDG8SE540978
,1C4SJSAP1RS118508
,3C4NJDBN0ST549268
,3C6UR5CL2RG356699
,1C4PJXDN6SW521802
,1C4RJHAG4SC272387
,1C4PJXDG9RW315109
,3C4NJDBN2ST541138
,3C4NJDCN7ST549265
,2C4RC1GG9SR533593
,1C6SRFFP0SN629339
,3C4NJDBN2ST549272
,1C6SRFFP4SN641817
,1C6SRFFP2SN646885
,1C6SRFGP2SN556375
,1C4RJXDN9SW531698
,1C4PJXEN8SW531701
,1C6RRFCG7SN659375
,1C4PJXEG6RW266000
,3C4NJDBN0ST541137
,1C4PJXDN0SW545321
,1C4PJXDG8RW357223
,1C6SRFFP1SN658526
,1C4PJXDG2SW518235
,1C6SRFJPXSN673730
,1C6RRFGG6SN659376
,3C4NJDCN9ST549266
,3C4NJDBN4ST526480
,1C4RJXDN0SW531699
,
41906,1C6SRFFT0NN397469
,JH4DC538X4S008851
,5N1AA0NE0FN609537
,1FMSK8DH9MGB91220
,
42008,1C6RR7GG6NS237457
,2C4RC1BG9NR142942
,1C4PJMMB3PD114351
,2C3CDXBG9MH632635
,1C6SRFFT5PN533324
,1C4PJMMB1PD110038
,1C6HJTFG7PL527300
,1C6SRFLM8LN413427
,2C3CDXBG1MH632466
,2C4RC1BG5PR521388
,2C3CDZAG0NH263503
,1C4RDJEG4LC146847
,2C3CDXBG0MH642843
,1C4HJXDN3NW154835
,1C6HJTAG0NL160776
,1C4PJMMB1PD112291
,2C3CCAAG9JH314236
,5GRGN22U55H112862
,3N1CP5CV7RL473104
,2GNALCEK4G6324990
,1GNSCBKC5GR300391
,2T3P1RFV3MW157736
,1GKKNMLS3LZ132365
,KMHLL4AG4NU245452
,KL8CD6SA1MC735514
,JN8BT3DC1PW102280
,2C4RDGBG2DR746766
,1C4HJXEN4KW687271
,2FMPK4K99KBC11061
,1GCVKSEC4HZ236866
,JN8AY2NC0J9554085
,KNMAT2MT5FP589347
,KL8CD6SA3MC748684
,1C6SRFFP8SN600090
,2C4RC1S75SR514496
,1C6SRFFP7SN656862
,1C6SRFFP0SN629339
,2C4RC1S79SR528000
,1C6SRFHP1SN613387
,1C6SRFFP9SN656863
,3C6UR5DJ7RG390005
,3C4NJDCN4ST541124
,1C6SRFFP2SN656865
,2C4RC3BGXSR526199
,1C6RRFGG6SN639595
,2C4RC1BG2RR110887
,1C6SRFFP6SN641818
,3C6UR5DJ5RG392321
,1C6SRFLP7SN634803
,3C6UR5DJ7RG392319
,3C6UR5CJ3RG375597
,3C6UR5DJ0RG390010
,ZACPDFCW3R3A18741
,ZACNDFAN8R3A32491
,1C6SRFFP2SN646885
,3C6UR5DL4RG390030
,1C4RDJDG5SC509883
,1C6SRFFP7SN656859
,3C6UR5DL8RG390029
,1C6SRFJP4SN643820
,1C6RRFGG9SN657864
,3C6UR5DJ4RG390012
,1C4PJXFN8SW508076
,1C6SRFFP5SN656858
,2C4RC3BG2SR526200
,1C6SRFFP3SN656857
,3C4NJDCN6ST541125
,1C4RJKAG9S8641325
,1C6SRFFP5SN656861
,3C6UR5DL7RG384402
,1C4PJXDG2SW518235
,2C4RC1S73SR514495
,1C6SRFFP5SN658528
,1C6SRFFP0SN656864
,
42068,1C6HJTFGXML584408
,1C4AJWAG6HL548501
,2C4RDGCG1GR355983
,2C3CDZAT7FH843247
,1C4RJFBG5FC829750
,1C4RJFAG0GC354760
,1V2DC2CA0MC241391
,2G1WD58C289248657
,3GYFNBE3XGS547512
,3GTU2NEC1JG456324
,1GCPTDEK0R1208166
,2C3CDXJG2JH249262
,1J4BA7H1XBL606395
,JTDKN3DU2E1735458
,2C3CCAAG5DH504183
,5GAEVAKW1PJ182134
,2C4RC1FG6KR525338
,5FNRL5H60CB054912
,JN8AY2NC3J9553903
,1C6SRFFT9MN797643
,2C4RC1GG9HR650678
,1GNSKJKJ1KR114836
,2C4RC1S72NR207811
,2C3CDZFJ1FH706912
,2C4RDGCG7DR636665
,2C4RC1BG6SR516015
,1C4RDJDGXSC510267
,2C4RC1BG9SR534248
,3C6UR5DL6RG390028
,3C4NJDBN9ST549270
,1C6SRFFP2SN659300
,3C6UR5DL6RG390031
,3C6LRVDG7RE110319
,1C6SRFJP6SN643818
,3C6LRVDG1RE130145
,3C4NJDBN2ST533671
,3C4NJDBN8ST533674
,1C6RRFGG8SN659377
,1C4RJKAG2S8641327
,1C6SRFFP9SN646883
,1C6RRFGG8SN656897
,3C6UR5CJ6RG375190
,3C6UR5DJ2RG390011
,3C6UR5DL5RG384401
,1C6SRFFPXSN659934
,3C6UR5DL9RG384403
,1C4RJHAG2SC289110
,1C6SRFFP8SN659933
,1C4RJHAG2SC289107
,1C6SRFHP3SN621071
,1C4RJHAG6SC278210
,2C4RC1BG7SR534247
,1C6SRFFP3SN656860
,1C6RRFGG6SN659376
,3C4NJDCN9ST549266
,1C6RRFGG0SN657865
,2C4RC1GG4SR533596
,1C6SRFFP6SN659932
,2C4RC3BG6SR526197
,3C4NJDBN0ST549271
,1C6SRFFP4SN659301
,3C4NJDBN0ST533670
,2C4RC1GG2SR533595
,3C6LRVDG3RE100693
,3C4NJDCN5ST549264
,1C6SRFFPXSN600091
,2C4RC1GG0SR508257
,1C4RJHAG4SC289108
,3C6UR5DL0RG384404
,3C6UR5DL2RG390026
,3C4NJDBN4ST533672
,3C6LRVDG4SE528035
,
42110,1C4RJFBG5FC828750
,3C6UR5DL7PG617210
,1C6SRFFT8PN533348
,ZACNJDB19PPP58114
,1FTPF12V87KA94784
,2FMDK36C77BB33986
,5NPDH4AE3EH480850
,2C4RDGBG6GR244217
,1C4PJLCB8KD344651
,2C3CCABG0FH755713
,1C3CDZAB3CN265092
,3C63R3CJ0JG397383
,2C4RC3BG8SR526198
,1C4RJKBG7S8652662
,1C6SRFFP3SN658527
,1C4RDJDG3SC520588
,1C4RJHBG3S8655481
,1C6SRFFPXSN666978
,1C6RRFGG7SN657863
,2C4RC1GG4SR527118
,1C4RDJDG1SC520587
,1C6SRFFP1SN658526
,1C4PJXDN6SW521802
,3C4NJDBN0ST549268
,1C6SRFFP8SN666977
,2C4RC3GG9SR529121
,
42160,1C4RJEAG8JC125356
,1C6SRFFT8PN533348
,1C4JJXR6XMW802141
,2C4RC1BGXNR129021
,1C4RJFBG5FC828750
,1C4PJLCB8KD344651
,ZACNJDB19PPP58114
,1C6RR7LG5NS209882
,ZACNJDAB0MPM28013
,3C6UR5DL7PG617210
,ZACNJBBB3LPL88138
,1C6SRFBT1NN203487
,2FMDK36C77BB33986
,1C4RJFBG4EC407505
,2T3BFREV7GW536059
,1C6RR7YT6JS199217
,3MVDMBBM1PM529318
,5N1BT3AB5PC780213
,1FMCU0H69NUA65984
,1C4HJXDN0JW245765
,3C63R3CJ0JG397383
,2C4RC1BG0SR522747
,1C4RJHBG4SC286725
,1C4RJXP65SW520833
,1C4RJHBG0SC294966
,1C4PJXDN6SW521802
,3C4NJDBN0ST549268
,1C4RJHBG5S8655479
,1C4RJHBG1S8655480
,3C6LRVDG3SE531704
,1C6SRFFPXSN666978
,1C6RRFGG7SN657863
,2C4RC1GG4SR527118
,1C6SRFFP8SN666977
,1C4RJKBG9S8652663
,1C4RJKBG7S8652662
,2C4RC3GG9SR529121
,1C4RJHBG2SC294970
,2C4RC3BG8SR526198
,1C4RDJDG1SC520587
,1C4RJKAG8S8659492
,1C6SRFFP1SN658526
,3C4NJDBN2ST549269
,1C4RJHBG6SC294969
,1C4RDJDG3SC520588
,1C6SRFFP3SN658527
,
42232,2C3CDZAG6NH258015
,2C3CDZAG5NH258054
,ZACCJBBB9HPG10330
,2C3CDZJG4NH174727
,2C3CDZAG2NH257492
,2C3CDZAG0NH257460
,2C3CDXJG5NH162588
,2C4RC1EG6JR317671
,2C3CDZAG7NH257407
,2C3CDZAG3NH265889
,3C4NJDBN6RT106276
,1C6SRFJT3LN205742
,2C4RDGCG8CR288695
,4T4BF1FKXER364403
,ZACCJBBB4JPH50761
,1C4RJFJG3LC105735
,1D7HA16N43J519713
,1D7HA18N14J112964
,WBAWL13568PX19929
,1FADP3L93HL348917
,2FMPK3J90HBB67696
,3GCUKREC7HG417951
,1C4JJXP69MW799655
,1C4RJFLT2MC854070
,WDC0G4KBXGF105695
,1C4HJXEM1MW540481
,1C6SRFFT7KN540462
,3KPF24AD1KE121269
,1C4HJXENXLW339864
,5YFBURHE6EP061027
,1FMCU0G65LUC25101
,1GCGTCE30F1170758
,1C4RJKAG7S8659497
,1C4RJKAG1S8659494
,2C4RC1BG7SR534250
,1C4RJKAGXS8659493
,1C4RJXDN0SW531699
,3C6UR5DJ3RG392320
,3C6UR5DJ2RG390008
,3C4NJDBN9ST549267
,3C6UR5DJ4RG390009
,1C4RJKAG5S8659496
,2C3CDZC9XPH680726
,3C6UR5DJ6RG390013
,3C6UR5DJ0RG390007
,
42271,1FMCU0MN7PUA44308
,
42299,1C4RDJDG8MC691596
,1C6SRFFT2MN678882
,1C4SDJCT0NC105250
,JM3KFBCM1R0392699
,2A8HR44H38R142708
,1LNHL9DK8DG611218
,5N1AZ2MH4HN143789
,4S4BSAFC7K3307804
,1G1FF3D73G0165500
,KMTG34SC5RU143537
,2C4RDGEG1KR770047
,1C4PJXDG2SW504108
,1C6SRFFT6RN207406
,3C4NJDCN7ST549265
,1C4RJHAG7SC290575
,2C4RC1BG1SR535538
,2C4RC1GG2SR527117
,2C4RC1GG9SR533593
,1C4RJHAG9SC290576
,1C4RJKAG2S8652666
,1C4RJKAG3S8659495
,3C6UR5DJ8RG390014
,2C4RC1BG3SR535539
,1C6SRFFP3SN667843
,1C4PJXEN8SW531701
,3C4NJDBN9ST558373
,
42351,1C6RRFFG0NN284266
,1VWAT7A36FC112240
,KMHD04LB1JU482778
,1C6SRFFT3MN634115
,1GT49LEY3RF469794
,2C3CDZAG8LH180933
,5XYZTDLB1EG198544
,1C4PJXDN6SW518236
,1C4RJHAG4SC290579
,1C6SRECG9SN597943
,1C4PJXEN6SW531700
,2C4RC3GG7SR529120
,
42383,1C4SDJCT4NC221261
,1C4RJKDGXM8184720
,1C4JJXR63NW178362
,1C4SDJCT8NC220971
,1C4RDJDGXRC144191
,1C4SJVFJ4PS543644
,2C4RC1BG0NR117198
,2C4RC1GG8NR177562
,1C6SRFHT8LN400273
,3FA6P0HD4ER233924
,1N4BA41E18C810311
,1GKKNML45PZ210698
,1C3CCCAB6FN552527
,3C6RR7KT7KG657865
,2C4RC1GG7LR118189
,3N1CN7AP4KL881426
,3MVDMBBM1RM624559
,3GCUYGED4KG185036
,2C4RDGCG6ER222956
,1C4NJPFA0GD749251
,1N6BA1F40KN526606
,1C4RJFBG3LC425653
,2T3P1RFV3NW291244
,1C4NJCBB9GD514550
,1C4SDJCT2NC221050
