Printed Vehicles:,,VINLOG:,TOTALS,,,Duplicates:
2022 RX - P8P041412 - JTJHZKFAXN2041412,Certified Pre-Owned,JTJHZKFAXN2041412,New:,0,,
2021 GX - P8N290048 - JTJGM7BX1M5290048,Certified Pre-Owned,JTJGM7BX1M5290048,Used:,11,,
2023 IS - P8N030232 - JTHGZ1E24P5030232,Certified Pre-Owned,JTHGZ1E24P5030232,Duplicates:,0,,
2024 TX - P8U003171 - 5TDAAAA61RS003171,Certified Pre-Owned,5TDAAAA61RS003171,New Dupes:,0,,
2023 ES - P8N143569 - 58ADZ1B19PU143569,Certified Pre-Owned,58ADZ1B19PU143569,Used Dupes:,0,,
2021 RX - P8P308067 - 2T2HZMDA0MC308067,Certified Pre-Owned,2T2HZMDA0MC308067,,,,
2024 RX - P8X043023 - 2T2BAMBA3RC043023,Certified Pre-Owned,2T2BAMBA3RC043023,,,,
2015 ES 350 - P8N163840 - JTHBK1GG2F2163840,Pre-Owned,JTHBK1GG2F2163840,,,,
2019 RX - P8N129970 - 2T2ZZMCA2KC129970,Pre-Owned,2T2ZZMCA2KC129970,,,,
2021 Cayenne - P8NA33615 - WP1AG2AY6MDA33615,Pre-Owned,WP1AG2AY6MDA33615,,,,
2023 GV70 - P8N126927 - KMUMADTB0PU126927,Pre-Owned,KMUMADTB0PU126927,,,,
2015 Veloster - P8N221971 - KMHTC6AD3FU221971,Pre-Owned,KMHTC6AD3FU221971,,,,
2020 4Runner - P8P825229 - JTEBU5JRXL5825229,Pre-Owned,JTEBU5JRXL5825229,,,,
2023 CR-V - P8N000424 - 7FARS4H73PE000424,Pre-Owned,7FARS4H73PE000424,,,,
2019 C-Class - P8U283739 - 55SWF8EB3KU283739,Pre-Owned,55SWF8EB3KU283739,,,,
2022 Tiguan - P8G107618 - 3VV8B7AX7NM107618,Pre-Owned,3VV8B7AX7NM107618,,,,
2021 Bronco - P8UA61309 - 1FMDE5BHXMLA61309,Pre-Owned,1FMDE5BHXMLA61309,,,,
2015 Civic Sedan - P8N025066 - 19XFB2F56FE025066,Pre-Owned,19XFB2F56FE025066,,,,